"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1853358376732004388","Mon Nov 04 08:47:25 +0000 2024","0","haluu kocakkk. blackpink saingan di chart BB aja bareng 2NE1 sama BIGBANG. album pertama blackpink itu album KPOP pertama yg jadi bomor 1 di worldwide itunes chart ngegeser adele lu bayangin ADELE! bts aja blm nyentuh posisi itu wkwk","1853358376732004388","","","in","Melbourne, Victoria","0","0","0","https://x.com/pinkgzy/status/1853358376732004388","1347331749496254466","pinkgzy"
"1853357534004035915","Mon Nov 04 08:44:04 +0000 2024","2","60k MY1PICK AVAILABILE DM to buy wtb lfb wts lfs bts exo blackpink jisoo redvelvet wendy twice jihyo xodiac tempest unis hori7on rony parulian nyoman paul lyodra ginting salma salsabil anggis devaki","1853357534004035915","","","in","OPEN","0","0","0","https://x.com/AFFORDAVTS/status/1853357534004035915","1614989954169602048","AFFORDAVTS"
"1853299779574563125","Mon Nov 04 08:33:48 +0000 2024","0","@Celotehanimell @wagonrid @spressoid @ertigaid @SelebtwitMobil Mungkin hasil lanjutan kerjasama ini https://t.co/QDX4kNnEjE","1853354951629504644","","Celotehanimell","in","Indonesia","0","1","0","https://x.com/Aerio_Ina/status/1853354951629504644","1833001838020636672","Aerio_Ina"
"1853354766140944517","Mon Nov 04 08:33:04 +0000 2024","0","3 kata lucu: blackpink dompleng bts","1853354766140944517","","","in","","0","0","0","https://x.com/Prikitiwwws/status/1853354766140944517","1559573368621641728","Prikitiwwws"
"1853347435374113069","Mon Nov 04 08:32:32 +0000 2024","0","@razkaws @sicupuh @SelebtwitMobil @makanminumhappy @rgoestama @rapharay @ertigaid @Savvytrader6 Masi sodara ama ini gak? https://t.co/OKQJnRM3pR","1853354633072427281","https://pbs.twimg.com/media/GbhwN3WaoAAwW3P.jpg","razkaws","in","Indonesia","0","2","0","https://x.com/Aerio_Ina/status/1853354633072427281","1833001838020636672","Aerio_Ina"
"1853299779574563125","Mon Nov 04 08:30:10 +0000 2024","0","@SelebtwitMobil @spressoid @jhinseluck @wagonrid @ertigaid Denger kalo ini mah tp lupa ","1853354036910789088","","SelebtwitMobil","in","Indonesia","0","0","0","https://x.com/Aerio_Ina/status/1853354036910789088","1833001838020636672","Aerio_Ina"
"1853314704455975311","Mon Nov 04 05:53:53 +0000 2024","0","mw ngakak ada kan template 1 month group songs challenge. like song that make you emotional make you happy dll lah kl blackpink sebulan jg abis smua lagunya gbs pilih pilih krn lagunya cm 32","1853314704455975311","","","in","","0","1","0","https://x.com/icebearfangirl/status/1853314704455975311","533856924","icebearfangirl"
"1853116086184734951","Mon Nov 04 05:48:19 +0000 2024","0","@SelebtwitMobil @deddypp5 @Ultrasurmdrdsta Wkwkwkw","1853313305059680531","","SelebtwitMobil","in","Indonesia","0","0","0","https://x.com/Aerio_Ina/status/1853313305059680531","1833001838020636672","Aerio_Ina"
"1853312221457297469","Mon Nov 04 05:44:01 +0000 2024","0","1 kalimat lucu blackpink dompleng bts pffffffft https://t.co/Lb2pDkBlVa","1853312221457297469","https://pbs.twimg.com/media/GbhJoq5bgAAkXLN.jpg","","in","🏖️","0","0","0","https://x.com/jennierubyburn/status/1853312221457297469","1348528073038204930","jennierubyburn"
"1853308070891593810","Mon Nov 04 05:27:31 +0000 2024","0","pinksell! yuk jajan aku kasih free postcard official bp nanti https://t.co/h8yRu814mt","1853308070891593810","","","in","KIRIM MENFESS 👇🏻","0","0","0","https://x.com/ourbpmart/status/1853308070891593810","1676498531702706176","ourbpmart"
